,RKI_Cases,RKI_Deaths,JHU_Cases,JHU_Deaths,Delta_Cases,Delta_Deaths
2020-03-03,196,0,196,0,0,0
2020-03-04,262,0,262,0,0,0
2020-03-05,400,0,482,0,-82,0
2020-03-06,639,0,670,0,-31,0
2020-03-07,795,0,799,0,-4,0
2020-03-08,902,0,1040,0,-138,0
2020-03-09,1139,2,1176,2,-37,0
2020-03-10,1296,2,1457,2,-161,0
2020-03-11,1567,3,1908,3,-341,0
2020-03-12,2369,5,2078,3,291,2
2020-03-13,3092,5,3675,7,-583,-2
2020-03-14,3795,8,4585,9,-790,-1
2020-03-15,4838,12,5795,11,-957,1
2020-03-16,6012,13,7272,17,-1260,-4
2020-03-17,7156,12,9257,24,-2101,-12
2020-03-18,8198,12,12327,28,-4129,-16
2020-03-19,10999,20,15320,44,-4321,-24
2020-03-20,13978,31,19848,67,-5870,-36
2020-03-21,16662,46,22213,84,-5551,-38
